Call Id,Agent,Date,Time,Topic,Answered (Y/N),Resolved,Speed of answer in seconds,AvgTalkDuration,Satisfaction rating
ID0001,Diane,2021-01-01,9:12:58,Contract related,Y,Y,109.0,2.38,3.0
ID0002,Becky,2021-01-01,9:12:58,Technical Support,Y,N,70.0,4.03,3.0
ID0003,Stewart,2021-01-01,9:47:31,Contract related,Y,Y,10.0,2.18,3.0
ID0004,Greg,2021-01-01,9:47:31,Contract related,Y,Y,53.0,0.62,2.0
ID0005,Becky,2021-01-01,10:00:29,Payment related,Y,Y,95.0,1.0,3.0
ID0006,Stewart,2021-01-01,10:00:29,Technical Support,N,N,67.52072027627035,3.748791317217563,3.0
ID0007,Diane,2021-01-01,10:22:05,Payment related,Y,Y,24.0,3.67,2.0
ID0008,Diane,2021-01-01,10:22:05,Payment related,Y,Y,22.0,0.63,4.0
ID0009,Greg,2021-01-01,11:13:55,Admin Support,Y,Y,15.0,6.63,4.0
ID0010,Jim,2021-01-01,11:13:55,Streaming,Y,Y,78.0,1.07,3.0
ID0011,Joe,2021-01-01,11:15:22,Payment related,N,N,67.52072027627035,3.748791317217563,3.0
ID0012,Greg,2021-01-01,11:15:22,Payment related,Y,Y,50.0,0.53,4.0
ID0013,Joe,2021-01-01,11:52:48,Payment related,Y,Y,84.0,3.57,3.0
ID0014,Martha,2021-01-01,11:52:48,Contract related,Y,Y,89.0,5.73,3.0
ID0015,Becky,2021-01-01,11:55:41,Admin Support,Y,Y,48.0,3.78,4.0
ID0016,Becky,2021-01-01,11:55:41,Admin Support,Y,Y,63.0,5.43,2.0
ID0017,Greg,2021-01-01,11:57:07,Technical Support,Y,Y,45.0,5.53,5.0
ID0018,Becky,2021-01-01,11:57:07,Admin Support,N,N,67.52072027627035,3.748791317217563,3.0
ID0019,Jim,2021-01-01,12:01:26,Streaming,N,N,67.52072027627035,3.748791317217563,3.0
ID0020,Jim,2021-01-01,12:01:26,Contract related,Y,Y,101.0,2.45,3.0
ID0021,Jim,2021-01-01,12:02:53,Technical Support,Y,Y,74.0,5.37,5.0
ID0022,Dan,2021-01-01,12:02:53,Admin Support,Y,Y,89.0,5.83,5.0
ID0023,Martha,2021-01-01,12:02:53,Technical Support,N,N,67.52072027627035,3.748791317217563,3.0
ID0024,Joe,2021-01-01,12:02:53,Technical Support,Y,Y,68.0,5.42,2.0
ID0025,Diane,2021-01-01,12:30:14,Streaming,Y,Y,97.0,4.15,3.0
ID0026,Dan,2021-01-01,12:30:14,Payment related,N,N,67.52072027627035,3.748791317217563,3.0
ID0027,Joe,2021-01-01,12:40:19,Streaming,Y,Y,39.0,4.0,3.0
ID0028,Martha,2021-01-01,12:40:19,Contract related,Y,Y,51.0,2.57,4.0
ID0029,Joe,2021-01-01,12:40:19,Technical Support,Y,Y,106.0,2.15,4.0
ID0030,Stewart,2021-01-01,12:40:19,Streaming,Y,Y,107.0,5.92,3.0
